Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,129.3,125.3,121.2,117,112.8,108.6,104.3,100,95.9,91.8,87.8,84,80.3,76.8,73.4,70.2,67.2,64.6,62.2,59.9,57.8
Albania,27.2,25.8,24.4,22.9,21.5,20,18.5,17.1,15.8,14.5,13.3,12.2,11.2,10.5,9.9,9.6,9.4,9.3,9.3,9.4,9.4
Algeria,41.7,40.1,38.5,36.9,35.3,33.8,32.3,31,29.8,28.7,27.8,27.1,26.5,26.1,25.7,25.3,24.9,24.5,24,23.5,22.9
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,7.6,7.2,6.9,6.5,6.3,6,5.6,5.4,5.1,4.8,4.6,4.3,4.1,3.9,3.7,3.5,3.4,3.2,3.1,3,2.8
Angola,205.1,198.9,191.9,184.2,175.5,166.2,156.8,147.1,137.5,128.5,120,112.2,104.9,98.3,92.9,88.3,84.4,81.1,78,75,72.1
Antigua and Barbuda,15.5,15.1,14.7,14.1,13.5,12.9,12.3,11.7,11.2,10.6,10.1,9.5,9,8.6,8.1,7.7,7.4,7.1,6.8,6.6,6.4
Argentina,19.7,19,18.3,17.7,17.1,16.6,16.1,15.7,15.4,15,14.5,13.9,13.3,12.7,12.2,11.6,11,10.3,9.5,8.6,7.7
Armenia,30.7,29.2,27.8,26.4,25.1,23.9,22.7,21.6,20.5,19.5,18.5,17.6,16.8,15.9,15.1,14.4,13.7,13,12.4,11.8,11.3
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,6.2,6.1,6,5.9,5.8,5.7,5.6,5.4,5.2,5,4.8,4.5,4.3,4.1,4,3.9,3.8,3.8,3.8,3.8,3.7
Austria,5.5,5.4,5.3,5.2,5.1,4.9,4.7,4.6,4.5,4.5,4.3,4.2,4,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.6
Azerbaijan,74.6,69.4,64.5,59.8,55.7,52,48.7,45.6,42.7,39.9,37.3,34.8,32.5,30.3,28.3,26.3,24.5,22.9,21.5,20.4,19.4
"Bahamas, The",16.3,16.4,16.6,16.8,16.9,16.9,16.8,16.5,16.2,15.8,15.4,15.1,14.7,14.4,14.1,13.9,13.8,13.6,13.5,23.4,13.3
Bahrain,12.5,12,11.6,11.3,11,10.6,10.2,9.8,9.3,8.9,8.5,8.1,7.9,7.7,7.5,7.4,7.3,7.3,7.2,7.1,7
Bangladesh,86.1,81.1,76.6,72.3,68.3,64.5,61,57.7,54.7,51.8,49.2,46.7,44.4,42.1,40,38,36,34.1,32.2,30.4,28.8
Barbados,15.2,15.4,15.6,15.7,15.8,15.7,15.6,15.5,15.3,15.1,15,14.9,14.7,14.6,14.4,14.1,13.8,13.4,13,12.7,12.3
Belarus,12.8,11.8,10.9,10.1,9.4,8.7,8,7.3,6.6,6.1,5.6,5.2,4.9,4.6,4.3,4.1,3.9,3.6,3.4,3.1,2.9
Belgium,5.9,5.7,5.5,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1
Belize,23.6,22.9,22.2,21.7,21.3,20.9,20.6,20.3,19.9,19.5,18.9,18.4,17.7,16.9,16.1,15.3,14.5,13.7,13,12.3,11.7
Benin,136.8,133.6,130.5,127.4,124.4,121.6,118.9,116.3,113.8,111.4,109.1,106.9,104.6,102.3,100.1,97.9,95.6,93.4,91.1,88.6,86
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,77.1,72.9,68.8,64.9,61.2,57.6,54.1,50.9,47.8,45,42.4,40.1,38,36.3,34.7,33.2,31.9,30.6,29.6,28.5,27.5
Bolivia,75.6,71.4,67.3,63.5,59.8,56.3,53.1,50,47.1,44.4,41.9,39.5,37.3,35.2,33.3,31.6,30.2,28.9,27.7,26.6,25.6
Bosnia and Herzegovina,9.9,9.6,9.3,9.2,9,8.9,8.6,8.3,7.9,7.5,7.2,6.9,6.7,6.5,6.4,6.3,6.2,6.1,6,5.9,5.7
Botswana,74,73.2,72.2,73.1,73.7,71.3,68.8,68.6,68.8,65.9,62.6,61.2,55.2,50.3,48.2,45.4,43.5,39.9,39,37.7,36.3
Brazil,34.7,32.5,30.4,28.4,26.5,24.8,23.2,21.8,20.6,19.6,18.6,17.9,17.2,16.7,16.3,15.9,16.7,15.4,15.2,14.9,14.7
British Virgin Islands,15.7,15.6,15.6,15.5,15.5,15.4,15.3,15.3,15,14.8,14.5,14.2,13.8,13.4,13.1,12.7,12.3,11.9,11.5,11.2,10.9
Brunei Darussalam,10.3,10,9.8,9.7,9.5,9.5,9.5,9.5,9.5,9.6,9.7,9.8,10,10.2,10.4,10.6,10.8,11,11.2,11.4,11.5
Bulgaria,17.4,16.7,16,15.2,14.2,13.3,12.4,11.8,11.4,11.1,10.8,10.4,9.8,9.2,8.7,8.1,7.7,7.3,7,6.7,6.5
