,Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,15325.0,17890,20293,20170,20616,20057,18020,18883,18401,18876
1,Albania,11937.0,12899,12324,12784,13246,11389,11862,13053,15157,15399
2,Algeria,161207.0,200020,209059,209755,213810,165979,160034,167498,174868,171673
3,Andorra,3446.0,3625,3189,3193,3267,2789,2895,2993,3217,3155
4,Angola,83799.0,111790,128053,136710,145712,116194,101124,122022,101353,84516
5,Antigua and Barbuda,1149.0,1138,1200,1181,1250,1337,1437,1468,1606,1688
6,Argentina,424729.0,527644,579666,611471,563614,642464,556774,643861,524431,451815
7,Armenia,9260.0,10142,10619,11121,11610,10553,10546,11527,12458,13619
8,Aruba,2454.0,2638,2615,2728,2791,2963,2984,3092,3202,3369
9,Australia,1254497.0,1515076,1569430,1519024,1456600,1233101,1263521,1381624,1417030,1385258
10,Austria,392595.0,431609,409661,430197,442699,382010,395728,417114,455198,444670
11,Azerbaijan,52913.0,65990,69687,74160,75240,50844,37830,41375,47113,48174
12,Bahamas,10096.0,10070,10720,10563,11176,11862,11835,12358,12756,13193
13,Bahrain,25713.0,28777,30749,32539,33388,31051,32235,35474,37802,38654
14,Bangladesh,138094.0,154097,159749,179676,207102,233687,265236,293755,321379,351238
15,Barbados,4530.0,4658,4610,4677,4696,4715,4830,4978,5087,5298
16,Belarus,57220.0,61368,65669,75496,78736,56329,47703,54723,60011,64414
17,Belgium,481814.0,523239,496467,521799,535529,462383,475931,502587,543546,535890
18,Belize,1739.0,1820,1903,2030,2138,2210,2258,2286,2315,2417
19,Benin,9543.0,10691,11148,12518,13288,11389,11818,12697,14257,14392
20,Bhutan,1399.0,1695,1772,1806,1784,1974,2064,2294,2509,2452
21,Bolivia,19786.0,24135,27282,30883,33237,33241,34189,37782,40581,41193
22,Bosnia and Herzegovina,17164.0,18629,17207,18155,18522,16404,17117,18326,20484,20483
23,Botswana,12637.0,15111,13907,14272,15470,13531,15083,16105,17032,16696
24,Brazil,2208704.0,2614027,2464053,2471718,2456055,1800046,1796622,2063519,1916934,1873286
25,Brunei,13707.0,18527,19047,18092,17098,12931,11399,12128,13568,13470
26,Bulgaria,50683.0,57680,54299,55812,57082,50782,53949,59322,66428,68920
27,Burkina Faso,10118.0,12078,12569,13445,13947,11833,12817,14175,15896,16179
28,Burundi,2032.0,2236,2333,2456,2706,3104,2960,3172,3037,3012
29,Cape Verde,1664.0,1866,1742,1850,1860,1597,1663,1770,2155,2172
30,Cambodia,11232.0,12817,14056,15227,16702,18082,20043,22206,24598,27087
31,Cameroon,27530.0,30626,30174,33729,36396,32213,33805,36086,39992,39673
32,Canada,1617345.0,1793327,1828362,1846595,1805751,1556508,1527996,1649266,1725300,1743725
33,Central African Republic,2141.0,2435,2512,1692,1896,1696,1825,2072,2279,2278
34,Chad,10701.0,12183,12411,12994,14003,10952,10202,10079,11042,10993
35,Chile,217105.0,251225,267165,277218,259394,242515,249306,276357,295428,278354
36,China,6033830.0,7492212,8539584,9624928,10524241,11113508,11226897,12265327,13841812,14340600
37,Colombia,286499.0,334966,370691,382094,381241,293492,282720,311890,334124,323055
38,Comoros,909.0,1023,1016,1116,1150,966,1013,1077,1179,1188
39,Democratic Republic of the Congo,22340.0,26406,30074,34908,38355,40154,38086,39461,48037,50891
40,Republic of the Congo,13159.0,15653,17704,17959,17918,11891,10217,11091,13676,12910
41,Costa Rica,37656.0,42762,47231,50949,52017,56442,58847,60517,62422,64412
42,Ivory Coast,34394.0,35455,36983,43147,48802,45732,48302,52394,58438,59787
43,Croatia,58741.0,62588,57267,59366,59231,50745,52376,55920,61357,61337
44,Cyprus,25821.0,27637,25063,23960,23232,19911,21040,22938,25609,25948
45,Czech Republic,209070.0,229563,208858,211686,209359,188033,196272,218629,249001,252548
46,Denmark,321995.0,344003,327149,343584,352994,302673,313116,332121,356841,346499
47,Djibouti,1542.0,1739,1900,2043,2215,2424,2605,2763,2913,3089
48,Dominica,494.0,501,486,498,520,541,576,522,555,612
49,Dominican Republic,53921.0,58088,60747,62758,67264,71254,75777,80082,85630,89032
50,Ecuador,69555.0,79277,87925,95130,101726,99290,99938,104296,107562,108108
51,Egypt,230024.0,247726,294482,303194,321634,350119,351443,246826,263156,317894
52,El Salvador,18448.0,20284,21386,21991,22593,23438,24191,24979,26021,26881
